FILER_ID,FILER_NAME
1017,Johnson City Democrats
10170,Committee To Elect Alex Zapesochny
10171,Committee To Elect Daniel Mandell Jr.
10172,Friends Of Maureen Walker
10173,Town Of Galway Republican Committee
10174,Committee To Re-Elect Success
10175,Concerned Citizens Of Queens
10176,Friends Of Frank J. Delcampo
10177,Friends Of Chris Giruzzi
10178,Friends Of Dorothy Phelan
10179,Friends Of Skip Beijen
1018,Friends Of Steve Cichon
10180,New Paltz Green Party
10181,Friends Of Warren Brinker
10182,Friends Of Justin Sweet
10183,Committee To Re-Elect Judge Sakowski
10184,Judge Dawn Jimenez For Civil Court
10185,Friends Of Elda C. Abate
10186,Friends Of Nat Weiner For Senate 06
10187,Committee To Elect Bill Reinhardt
10188,Amedure For Senate
10189,People For Murtagh
1019,Committee To Re-Elect Judge Denise Randall
10190,Friends Of Ron Conover
10191,Committee To Reelect Vinnie Crocitto
10192,Friends Of Peggy Van Arnam
10193,Nancy Goth Zverev Citizens For
10194,Friends Of Curlie W. Dillard
10195,Committee To Elect Bob Rice
10196,Citizens To Improve Orchard Park Committee
10197,Irvington Republican Committee
10198,East Hampton Town Republican Committee (Ehtrc)
10199,Citizens For Rev. Jacques Michel
102,East Rochester Republican Committee
1020,De La Rosa For District Leader
10200,Committee To Elect Daniel Mc Cullough
10201,New York Counties Registered Nurses Association Pac
10202,Friends Of Hannah Black
10203,Friends Of Nancy Sheehan
10204,Committee To Re-Elect Sean OConnor
10205,Friends Of Linda Lockwood
10206,Friends Of Ryan Mills
10207,Committee To Re-Elect Judge Michael Mckeon
10208,Capeci For County Court
10209,Nolin For Council
1021,Friends Of Ed Fare
10210,Republicans For A Higher Standard
10211,Friends Of Fort EdwardS Future
10212,Destino 2012 Pac
10213,Fleuriot 2010
10214,Bw Pac
10215,Diverse Ny
10216,Aramark Pac
10217,Campaign For Democratic Alternatives
10218,New York Check Pac Inc.
10219,Committee To Elect Don Wilbur
1022,Friends Of Alfred Ianacci
10220,Friends Of Judge Donovan
10221,Irondequoit Democratic Committee
10222,Town Of Saugerties Republican Club
10223,Malmud For Council
10224,Town Of Ballston Republican Committee
10225,Comrie 05
10226,Clarkson Republican Committee
10227,Friends Of Ryan Donovan
10228,Manhattan Republican Pac
10229,Friends Of Richard Velasquez
1023,Re-Elect Judge Rosenbaum
10230,Friends Of Mike Gianaris
10231,Committee To Elect Albert A. DAgostino To The Supreme Court
10232,Friends Of Lou Tobacco
10233,Citizens For Patricia M. Maher
10234,HDR Inc. Employee Owners PAC - New York
10235,Friends For Treewolf West
10236,Friends Of Kevin Griffin
10237,Cusick For Assembly
10238,Bramson For New York
10239,Friends Of Pataki (Independence Primary)
1024,Manhattan Beer Distributors Llc Nys Pac
10240,Committee To Elect Deborah Karalunas
10241,Friends Of Joshua Sabo
10242,Supporters Of Matt Hynes
10243,Friends Of Peter Sciliano
10244,Committee To Re-Elect Bob Grieco
10245,Friends Of Robert Martiniano
10246,Concerned Citizens For The Town Of Greece
10247,Responsive Government In Gates
10248,Democrats For Education Reform - New York State
10249,East Side Republican Committee
1025,Friends Of Diana S. Sanchez
10250,Friends For The Election Of Vincent T Muscarella
10251,Friends Of Amster
10252,Associates To Elect Glorious J. Johnson
10253,Friends Of Donaldson
10254,Gagarin 2009
10255,Committee To Elect Paul Goodwin
10256,Friends Of Adrian Straker
10257,Friends Of Don Moran
10258,Town Of Tonawanda ChairmanS Club
10259,Friends Of Mike Amodeo
1026,Harlem Citizens For Tafur
10260,People For Julissa A. Gomez
10261,Alyssa For Assembly
10262,Friends Of Cindy-Lou Joyce
10263,Ignizio 2009
10264,Lynbrook Republican Club CommitteemanS Council
10265,Friends Of Jim Castro-Blanco
10266,Friends Of Ed Szczesniak
10267,Citizens For Roberto Ramirez
10268,Friends Of Jim Hayes
10269,People For Mega
1027,Committee To Elect James S. Gentile
10270,Friends Of Marty OConnor
10271,Young Americans For Good Government
10272,Huntington Republican Campaign Committee
